DateTime,AddedIPs,RemovedIPs
1465962242,85,116
1465966083,82,83
1465969924,91,69
1465973762,65,56
1465977603,73,47
1465979522,46,1530
1465981442,1488,0
1465985283,67,60
1465987443,71,63
1465991282,59,65
1465995123,66,55
1466000882,64,64
1466002804,63,62
1466004723,20,5262
1466006643,5253,0
1466008562,69,73
1466012642,79,62
1466016483,75,71
1466020323,49,65
1466024163,70,87
1466028012,57,76
1466029922,48,1103
1466031843,0,1719
1466033762,2773,41
1466037606,57,65
1466041442,84,74
1466045763,75,81
1466049603,99,102
1466051523,29,3709
1466053442,3678,0
1466055363,85,60
1466059203,53,54
1466063043,73,57
1466066882,55,55
1466070724,52,49
1466074562,63,45
1466078644,43,49
1466080803,51,48
1466084642,38,67
1466086563,57,41
1466088724,41,57
1466090644,57,41
1466094484,65,54
1466096404,57,68
1466098322,59,441
1466100242,0,2841
1466102162,3273,39
1466106002,70,73
1466109842,53,157
1466113683,133,61
1466117523,52,81
1466121363,84,73
1466125203,41,63
1466128576,70,72
1466132404,68,82
1466134322,70,1106
1466136244,1090,70
1466142002,78,51
1466145843,55,54
1466149682,65,40
1466153762,58,51
1466157603,50,47
1466159523,5,5475
1466161443,5282,0
1466163363,242,50
1466167202,47,42
1466171042,63,49
1466174882,57,112
1466178724,68,57
1466182563,58,45
1466186403,68,67
1466188323,51,500
1466190242,446,0
1466192163,50,70
1466196483,59,56
1466200324,44,59
1466206086,51,67
1466208002,78,70
1466209924,47,695
1466212083,632,0
1466214003,58,65
1466218082,69,77
1466221924,99,100
1466225762,65,81
1466229603,74,44
1466231521,20,3352
1466233684,3338,0
1466235602,65,47
1466239442,61,52
1466243282,60,53
1466247124,60,58
1466250962,59,59
1466254803,54,49
1466256723,28,4453
1466258642,4398,0
1466260571,85,55
1466264882,60,55
1466268724,44,62
1466272572,68,55
1466276403,58,61
1466278323,22,4634
1466280243,4611,0
1466282164,43,62
1466286002,62,91
1466289843,43,89
1466293682,79,67
1466297523,43,67
1466301372,57,61
1466305203,63,77
1466307363,95,102
1466311203,69,75
1466315042,73,51
1466318882,69,49
1466322722,57,44
1466326563,58,43
1466330402,69,50
1466332323,45,1310
1466334242,1274,0
1466338084,56,54
1466340003,50,58
1466343843,77,50
1466347682,47,63
1466351524,55,59
1466355604,70,69
1466357522,21,4130
1466359444,4122,0
1466361362,65,53
1466365203,88,64
1466369282,54,56
1466373124,56,78
1466378882,39,82
1466380803,60,77
1466382722,14,5192
1466384642,3978,0
1466386562,1242,55
1466390402,80,88
1466394242,103,114
1466398082,455,433
1466400003,469,488
1466401924,97,58
1466405763,50,49
1466409604,68,45
1466411523,12,5645
1466413442,5624,0
1466415362,16,0
1466417283,62,40
1466419203,59,59
1466423042,61,58
1466427363,56,56
1466431216,55,59
1466433125,30,4265
1466435042,3241,0
1466436965,1056,46
1466440805,73,62
