DateTime,AddedIPs,RemovedIPs
1466066678,39,149
1466067653,39,226
1466068585,28,6
1466069564,13,192
1466070512,167,361
1466071458,98,2
1466072427,105,205
1466073460,57,331
1466074583,58,175
1466075552,45,187
1466076507,62,210
1466077458,51,143
1466078436,47,142
1466079386,30,303
1466080373,41,128
1466081309,61,241
1466081540,2,0
1466082317,39,132
1466083456,1241,2624
1466084430,89,185
1466085387,35,161
1466086341,33,205
1466087308,98,167
1466088349,27,177
1466089258,23,183
1466090202,19,172
1466091452,21,256
1466092589,117,157
1466093535,40,193
1466094507,21,247
1466095462,38,69
1466096454,83,281
1466097387,22,108
1466098362,41,369
1466099312,42,284
1466100259,52,219
1466101224,31,176
1466102186,37,230
1466103146,36,121
1466104114,59,201
1466105060,33,341
1466106028,43,123
1466106989,32,261
1466107953,39,119
1466108906,54,217
1466109866,35,237
1466110850,53,213
1466111791,33,199
1466112756,60,305
1466113711,47,136
1466114661,42,226
1466115629,28,248
1466116099,38,37
1466116582,58,326
1466117546,31,347
1466118514,46,164
1466119459,5,241
1466120425,39,320
1466121389,45,278
1466122402,68,194
1466123298,38,37
1466123551,28,268
1466124268,43,65
1466124497,11,157
1466126464,67,598
1466128182,99,534
1466129408,25,122
1466130502,44,74
1466131468,17,94
1466132440,63,374
1466133385,22,109
1466134360,83,218
1466135304,55,431
1466136260,71,453
1466137226,34,671
1466138182,19,113
1466139145,130,428
1466140114,35,296
1466141057,27,329
1466142024,78,450
1466143001,38,416
1466143949,41,271
1466144908,73,337
1466145866,19,272
1466146845,71,302
1466147302,18,23
1466147801,20,330
1466148760,55,265
1466149704,36,88
1466150664,60,79
1466151624,31,127
1466152994,42,409
1466154033,73,805
1466154999,48,372
1466155948,113,471
1466156906,39,324
1466157861,41,333
1466158834,40,710
1466159779,47,70
1466160750,50,26
1466161701,36,55
1466162659,26,89
1466163629,53,39
1466164579,32,83
1466165548,26,16
1466166563,56,126
1466167713,30,117
1466168660,32,0
1466169617,1213,2490
1466170578,24,3
1466171551,42,85
1466172502,11,0
1466173475,18,125
1466174433,20,77
1466175475,128,0
1466176636,36,161
1466177549,6,0
1466178545,16,140
1466179464,11,40
1466180458,50,56
1466181376,72,0
1466182396,118,92
1466183304,31,0
